# 环境监测数据
# 时间,光照强度(lux),温度(℃),湿度(%),pH值,微生物密度(CFU/mL),浊度(NTU),化学需氧量(mg/L),溶解氧(mg/L),电导率(μS/cm)

2023-10-01 08:00,850.5,25.3,65.2,6.8,1200,5.2,38.5,6.2,850
2023-10-01 09:00,1200.2,26.1,63.8,6.9,1350,5.8,40.1,6.0,820
2023-10-01 10:00,1500.7,27.5,61.4,7.0,1450,6.5,42.3,5.8,790
2023-10-01 11:00,1800.3,28.9,59.2,7.1,1600,7.2,45.0,5.5,760
2023-10-01 12:00,2100.8,30.2,57.8,7.2,1750,8.1,48.2,5.2,730
2023-10-01 13:00,1900.1,29.8,58.3,7.1,1680,7.5,46.5,5.4,750
2023-10-01 14:00,1600.6,28.3,60.1,7.0,1520,6.8,43.8,5.7,780
2023-10-01 15:00,1300.4,26.8,62.5,6.9,1400,6.1,41.2,5.9,810
2023-10-01 16:00,950.9,25.1,64.9,6.8,1250,5.5,39.0,6.1,840
2023-10-01 17:00,700.2,23.8,67.3,6.7,1100,5.0,37.5,6.3,870
2025-10-01 18:00,500.1,22.5,69.7,6.6,1050,4.8,36.8,6.5,890
